نوع البطولة,الفريق الاول,الفريق الثاني,نتيجة المباراة,موعد المباراة
كأس الاتحاد الإنجليزي,برينتفورد,وولفرهامبتون,0 ||  0,21:15
كأس الاتحاد الإنجليزي,فولهام,روثيرهام يونايتد,1 ||  0,21:30
كأس الاتحاد الإنجليزي,توتنهام هوتسبر,بيرنلي,1 ||  0,22:00
مباريات ودية - منتخبات,قطر,الأردن,1 ||  2,18:00
كأس فرنسا,باو,نانت,1 ||  4,19:00
الدوري الإيطالي,بولونيا,جنوى,1 ||  1,21:45
الدوري التركي,غازي عنتاب بي.بي.كي,بينديكسبور,2 ||  2,16:00
الدوري التركي,انطاليا سبور,ألانيا سبور,0 ||  0,19:00
الدوري التركي,بشكتاش,قاسم باشا,1 ||  3,19:00
الدوري البرتغالي,سبورتينج لشبونة,إستوريل,5 ||  1,20:45
الدوري البرتغالي,بوافيستا,بورتو,1 ||  1,22:45
